Industries,Group ,Subgroup,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Data processing, internet publishing, and other information services",Information & Finance,,46184,50804,64084,70726,74124,81180,82558,89603,96672,108948,118478,138181,143356,162532,188656,221542,240875,261656,290519,323476,365235,428369,481772,537500,661177,741804,786315
"Federal Reserve banks, credit intermediation, and related activities",Information & Finance,Finance and insurance,393802,429928,477356,527952,547988,581847,614264,631632,674904,704373,717393,700968,700061,691886,693054,761618,814021,874907,906241,975086,1057917,1111861,1119901,1147339,1202700,1254927,1371746
"Securities, commodity contracts, and investments",Information & Finance,Finance and insurance,205956,243913,292422,357163,312818,286386,307972,344520,381996,446901,501573,457332,436235,454391,452218,478471,511060,541863,542087,530863,549317,579751,607994,631889,720724,722258,828402
Insurance carriers and related activities,Information & Finance,Finance and insurance,349954,373830,390205,420326,439618,462015,506934,556419,605739,636041,691873,715930,645441,662341,727658,798591,837430,910672,963323,978973,1043139,1097423,1132639,1191071,1233309,1326899,1378230
"Funds, trusts, and other financial vehicles",Information & Finance,Finance and insurance,56149,65392,74595,89916,80928,71399,70253,80600,88165,97915,114334,118349,99868,108975,113813,117259,139259,146056,165114,158098,157361,149174,147388,155671,180667,190696,205986
Housing,Information & Finance,Real estate,857871,911354,967972,1028526,1103726,1148852,1193847,1264770,1354970,1429157,1505901,1593858,1616902,1650919,1686053,1726663,1783794,1829125,1885048,1958410,2033638,2116014,2218948,2343367,2477030,2695432,2927319
Other real estate,Information & Finance,Real estate,398229,415740,442920,495678,519114,583877,648038,757476,889615,900781,885232,813980,756470,803416,823334,889093,974986,1046978,1148792,1223784,1265027,1340641,1435813,1411750,1680134,1845179,1970218
Rental and leasing services and lessors of intangible assets,Information & Finance,Real estate,149879,170446,188267,210139,209893,201892,218928,230932,250554,262488,270164,289535,250998,268528,284732,298616,319341,341593,336060,341595,348724,380275,403077,403721,525378,590770,654987
Legal services,Professional & Public Services,Private Industries,155617,170163,180908,187737,200688,212024,238963,252037,270156,280965,290435,292117,279878,285996,297756,306936,308155,316208,329038,335025,354713,358780,370979,374728,412286,437846,447730
Computer systems design and related services,Professional & Public Services,Private Industries,123879,153619,186191,210687,205242,199740,197728,201576,217833,230455,256952,281939,279673,305031,330935,354222,365346,391479,401552,433961,476031,519246,531833,551114,610795,676314,706176
"Miscellaneous professional, scientific, and technical services",Professional & Public Services,Private Industries,520274,565824,610569,675455,697547,710827,734927,793901,858191,920507,997199,1050187,1000199,1026944,1082139,1123862,1146790,1210680,1264104,1307383,1373298,1461948,1573028,1596400,1794157,1997965,2145636
Management of companies and enterprises,Professional & Public Services,Private Industries,195160,221676,240171,260205,259597,261763,280598,320767,354823,383645,433488,432624,400243,422166,446514,478846,492923,518680,542310,541129,568623,600944,631717,638956,688296,756146,784243
Administrative and support services,Professional & Public Services,Private Industries,308897,352568,385360,423177,418905,414382,434714,469886,513505,549379,588906,602714,559026,589676,628098,661562,690747,759078,809240,876347,939580,1016602,1085165,1022472,1147253,1313488,1326052
Waste management and remediation services,Professional & Public Services,Private Industries,41969,46456,50706,52711,53383,53465,57300,62036,66758,73456,76521,79533,74828,82438,83194,83565,86950,94109,96436,105178,115616,123447,128247,128274,141312,155428,166856
Educational services,"Health, Education & Leisure",,113112,121733,129797,141663,155467,166180,176528,185302,195083,213456,236611,257298,273515,292898,306449,309611,319349,329644,339696,349890,357469,369505,383160,356650,385326,436971,473364
Ambulatory health care services,"Health, Education & Leisure",,388047,407827,425634,452422,492410,529478,566814,607400,642953,671910,708037,745734,773545,803348,833821,869254,872592,908309,958671,1015115,1072340,1109180,1162296,1106111,1245917,1346618,1474631
Hospitals,"Health, Education & Leisure",,271302,289790,303308,320356,345687,382376,408917,435512,469790,502216,530029,569355,611070,636902,667852,709379,730516,742577,789410,821373,846173,883635,931191,920433,1010039,1084818,1160859
